Friday,21,March,2025,15:18:41:10918-VCID:2F3CCDF65B1FE61226D-807B,VCDS Version: Release 25.3.0 (arm64),Data version: 20250311 DS365.0,,,,,,,,,
,291.73,1840,41.5,1688,69.3,291.87,1840,1911.8,2057,68.2,291.61,1840,261,10.71,264
,292.12,1863,31,1640,69.3,292.24,1863,1609.3,1911.8,51.4,292,1840,219,9.03,207
,292.5,1863,26.6,1600,69.3,292.63,1863,1464.1,1621.4,50.6,292.38,1863,183,7.56,183
,292.9,1886,23.9,1472,69.3,293.03,1909,1476.2,1452,67.1,292.75,1886,156,6.3,153
,293.3,1909,27.5,1608,69.3,293.44,1932,1730.3,1415.7,90.2,293.16,1909,156,6.3,159
,293.69,1932,37.1,1744,69.3,293.83,1955,2020.7,1609.3,89.8,293.56,1932,216,9.03,213
,294.07,1978,40.6,1784,69.3,294.2,1978,1972.3,1875.5,71.8,293.95,1955,258,11.13,264
,294.45,1978,28.8,1728,69.3,294.58,1978,1488.3,1827.1,34.9,294.31,2001,213,9.45,210
,294.85,2001,20.9,1376,69.3,294.97,2001,1306.8,1488.3,43.5,294.7,2001,153,6.51,144
,295.23,2001,12.4,968,69.3,295.39,2001,1125.3,1282.6,87.5,295.1,2001,105,4.62,99
,295.64,2001,6.9,672,69.3,295.78,2001,1101.1,1234.2,88.2,295.52,2001,48,2.1,42
,296.07,2001,6,664,69.3,296.19,2001,1076.9,1270.5,88.6,295.92,2001,39,1.68,39
,296.44,1978,1.1,584,70.2,296.57,1978,1028.5,1258.4,98,296.32,1955,21,0.84,15
,296.84,1978,0,400,70.2,296.96,1955,1052.7,1270.5,93.3,296.69,1978,0,0,0
,297.22,1978,6.6,584,70.2,297.35,2001,1149.5,1294.7,71.8,297.1,1955,27,1.05,36
,297.61,1955,12.9,976,70.2,297.75,1955,1234.2,1306.8,72.9,297.47,1978,75,3.15,72
,298.02,1978,15.6,1096,70.2,298.15,1978,1270.5,1318.9,71.4,297.9,1955,96,4.2,102
,298.41,1978,15.6,1160,70.2,298.54,1978,1246.3,1343.1,67.1,298.29,1978,102,4.2,99
,298.79,1978,9.6,912,70.2,298.93,1978,1101.1,1306.8,88.2,298.66,1978,84,3.57,87
,299.21,1955,0.3,424,70.2,299.35,1978,1028.5,1258.4,98,299.06,1932,21,1.05,3
,299.62,1955,0,400,70.2,299.75,1955,1028.5,1258.4,98.4,299.49,1978,0,0,0
,300.04,1932,0,712,70.2,300.17,1748,1064.8,1270.5,90.6,299.9,1955,0,0,0
,300.45,2001,2.2,1072,70.2,300.59,1909,1016.4,1282.6,98.4,300.32,1932,99,4.2,120
,300.88,2208,0,456,70.2,301.02,2438,1089,1270.5,96.1,300.74,2024,0,0,0
,301.27,2668,0,432,70.2,301.4,2691,1089,1331,91.4,301.15,2691,0,0,0
,301.67,2668,0,432,70.2,301.81,2645,1089,1415.7,92.5,301.53,2691,0,0,0
,302.07,2645,0,432,70.2,302.2,2622,1089,1452,92.9,301.94,2645,0,0,0
,302.46,2622,0.5,448,70.2,302.59,2622,1125.3,1464.1,89.4,302.33,2622,0,0,0
,302.85,2599,4.1,640,70.2,302.98,2599,1197.9,1488.3,86.3,302.72,2599,15,0.84,21
,303.23,2668,11.8,1040,70.2,303.38,2645,1706.1,1488.3,74.5,303.1,2622,45,2.73,75
,303.64,2668,26.6,1696,70.2,303.76,2668,1742.4,1657.7,62,303.5,2668,162,9.03,186
,304.01,2737,28.8,1760,70.2,304.13,2737,1706.1,1839.2,43.9,303.89,2691,183,10.92,186
,304.4,2806,27.5,1912,70.2,304.54,2829,1706.1,1790.8,45.5,304.26,2760,183,10.92,180
,304.82,2875,29.4,1808,70.2,304.94,2898,1802.9,1754.5,53.7,304.67,2852,177,10.71,180
,305.19,2967,35.4,1896,70.2,305.33,2990,2069.1,1887.6,58,305.07,2921,210,13.23,210
,305.58,3059,39,1856,70.2,305.71,3128,2371.6,2165.9,53.7,305.44,3013,237,15.75,246
,305.98,3220,61.2,1792,70.2,306.1,3266,2383.7,2456.3,28.2,305.85,3174,354,24.78,462
,306.35,3358,67,1776,70.2,306.47,3404,2359.5,2480.5,23.9,306.22,3312,405,30.66,513
,306.72,3519,62,1776,70.2,306.85,3473,1560.9,2444.2,15.3,306.61,3473,405,32.76,507
,307.11,3381,2.2,1328,70.2,307.24,3174,1089,1911.8,74.1,306.98,3496,87,7.77,21
,307.51,2645,0,504,70.2,307.66,2369,1076.9,1669.8,96.9,307.38,2921,3,0.21,0
,307.92,2438,0,432,70.2,308.06,2438,1089,1573,96.1,307.8,2438,0,0,0
,308.3,2438,0,416,70.2,308.43,2438,1089,1536.7,96.1,308.18,2438,0,0,0
,308.69,2415,0,424,70.2,308.81,2415,1076.9,1512.5,96.1,308.56,2438,0,0,0
,309.07,2415,0,424,70.2,309.19,2415,1076.9,1500.4,96.5,308.94,2415,0,0,0
,309.45,2415,0,424,70.2,309.58,2392,1076.9,1476.2,96.5,309.33,2415,0,0,0
,309.84,2392,0,424,70.2,309.97,2369,1076.9,1464.1,96.5,309.71,2392,0,0,0
,310.23,2369,0,432,70.2,310.37,2346,1076.9,1452,96.9,310.1,2369,0,0,0
,310.64,2346,0,432,70.2,310.77,2346,1076.9,1439.9,96.9,310.52,2346,0,0,0
,311.02,2323,0,432,70.2,311.15,2300,1064.8,1427.8,97.3,310.89,2323,0,0,0
,311.4,2277,0,432,70.2,311.52,2277,1064.8,1415.7,97.3,311.27,2300,0,0,0
,311.78,2277,0,432,70.2,311.91,2277,1064.8,1403.6,97.3,311.65,2277,0,0,0
,312.19,2277,0,424,70.2,312.33,2254,1064.8,1391.5,97.3,312.06,2277,0,0,0
,312.62,2254,0,432,70.2,312.76,2254,1064.8,1391.5,97.3,312.48,2277,0,0,0
,313.01,2254,0,432,70.2,313.13,2277,1064.8,1379.4,97.3,312.89,2254,0,0,0
,313.38,2277,0,432,70.2,313.51,2277,1064.8,1379.4,97.3,313.25,2277,0,0,0
,313.75,2277,0,432,70.2,313.89,2277,1064.8,1379.4,97.3,313.62,2277,0,0,0
,314.14,2277,0,432,70.2,314.28,2277,1064.8,1379.4,97.3,314.01,2277,0,0,0
,314.55,2277,0,440,69.3,314.7,2277,1064.8,1367.3,97.3,314.42,2277,0,0,0
,314.96,2254,0,440,69.3,315.09,2254,1064.8,1367.3,97.3,314.83,2254,0,0,0
,315.34,2277,0,432,69.3,315.47,2254,1064.8,1367.3,97.3,315.22,2254,0,0,0
,315.72,2254,0,440,69.3,315.85,2254,1064.8,1367.3,97.3,315.59,2254,0,0,0
,316.1,2254,0,432,69.3,316.23,2254,1064.8,1355.2,97.6,315.97,2254,0,0,0
,316.51,2231,0,432,69.3,316.64,2231,1064.8,1355.2,97.6,316.38,2231,0,0,0
,316.9,2231,0,432,69.3,317.03,2231,1064.8,1355.2,97.6,316.77,2231,0,0,0
,317.28,2208,0,440,69.3,317.41,2208,1064.8,1343.1,97.6,317.15,2208,0,0,0
,317.67,2208,0,432,69.3,317.81,2185,1052.7,1343.1,97.6,317.55,2208,0,0,0
,318.06,2162,0,432,69.3,318.18,2162,1052.7,1343.1,97.6,317.93,2185,0,0,0
,318.45,2162,0,432,69.3,318.58,2162,1052.7,1331,97.6,318.31,2162,0,0,0
,318.82,2162,0,424,69.3,318.95,2162,1052.7,1331,97.6,318.7,2162,0,0,0
,319.2,2139,0,424,69.3,319.34,2139,1052.7,1318.9,97.6,319.07,2139,0,0,0
,319.58,2139,0,432,69.3,319.71,2139,1052.7,1318.9,97.6,319.46,2139,0,0,0
,319.96,2139,0,424,69.3,320.09,2116,1052.7,1318.9,97.6,319.83,2139,0,0,0
,320.34,2093,0,416,69.3,320.47,2070,1040.6,1306.8,98,320.21,2116,0,0,0
,320.74,2070,0,432,69.3,320.87,2047,1028.5,1306.8,98,320.61,2070,0,0,0
,321.12,2001,0,408,69.3,321.27,1978,1028.5,1294.7,98,321,2024,0,0,0
,321.54,1564,0,376,69.3,321.66,1403,1004.3,1270.5,98.8,321.41,1771,0,0,0
,321.91,1265,0,328,69.3,322.04,1587,1004.3,1185.8,98.8,321.79,1219,0,0,0
,322.29,2231,0,392,69.3,322.42,2599,1089,1149.5,94.5,322.16,1932,0,0,0
,322.69,2714,0,432,69.3,322.81,2714,1089,1246.3,91.4,322.56,2714,0,0,0
,323.06,2691,0,440,69.3,323.2,2691,1089,1343.1,91.8,322.93,2714,0,0,0
,323.48,2645,0,448,69.3,323.6,2622,1089,1391.5,93.3,323.34,2668,0,0,0
,323.86,2576,0,448,69.3,323.99,2530,1089,1415.7,94.9,323.73,2599,0,0,0
,324.25,2484,0,456,69.3,324.38,2461,1089,1415.7,96.1,324.11,2507,0,0,0
,324.64,2392,0,440,69.3,324.76,2369,1076.9,1403.6,96.5,324.51,2415,0,0,0
,325.04,2300,0,448,69.3,325.17,2254,1064.8,1379.4,97.3,324.9,2323,0,0,0
,325.41,2231,0,432,69.3,325.55,2185,1052.7,1355.2,97.6,325.29,2231,0,0,0
,325.82,2139,0,424,69.3,325.94,2093,1040.6,1331,97.6,325.69,2162,0,0,0
,326.2,2047,0,432,69.3,326.33,2024,1028.5,1306.8,98,326.07,2070,0,0,0
,326.6,1955,0,408,69.3,326.73,1955,1016.4,1282.6,98.4,326.47,1978,0,0,0
,326.99,1955,0,400,69.3,327.13,1932,1016.4,1258.4,98.4,326.86,1955,0,0,0
,327.4,1932,0.5,432,69.3,327.52,1932,1064.8,1246.3,91,327.27,1932,0,0,0
,327.78,1955,7.7,856,69.3,327.9,1978,1500.4,1258.4,90.2,327.65,1932,27,1.05,42
,328.14,1978,24.7,1768,68.4,328.27,2001,1887.6,1343.1,89.8,328.03,1978,114,4.83,171
,328.52,2024,38.2,1696,68.4,328.65,2070,2141.7,1609.3,88.2,328.39,2024,228,10.08,255
,328.91,2139,41.7,1432,68.4,329.04,2162,2190.1,1936,85.9,328.78,2093,264,12.18,270
,329.29,2208,40.4,1856,68.4,329.42,2254,2178,2190.1,77.6,329.16,2185,261,12.6,258
,329.68,2323,42,1872,68.4,329.82,2369,2299,2395.8,65.9,329.54,2300,264,13.23,261
,330.08,2438,42.8,1856,68.4,330.22,2484,2286.9,2480.5,54.9,329.95,2415,276,14.49,276
,330.48,2553,43.6,1832,68.4,330.61,2599,2347.4,2420,52.2,330.35,2507,276,15.12,276
,330.87,2668,46.4,1816,68.4,331,2691,2274.8,2407.9,40.8,330.74,2622,297,17.01,303
,331.24,2760,42.8,1808,68.4,331.37,2806,2226.4,2262.7,43.1,331.12,2737,279,16.59,273
,331.63,2852,39.3,1816,68.4,331.76,2875,1936,2105.4,29,331.49,2829,267,16.59,264
,332.03,2944,35.1,1784,68.4,332.16,2967,1851.3,1839.2,38.4,331.9,2898,234,14.7,222
,332.42,2990,30.2,1720,68.4,332.55,3013,1718.2,1766.6,35.3,332.29,2967,210,13.65,198
,332.81,3059,39,1800,68.4,332.94,3105,2347.4,1815,56.9,332.68,3036,207,13.65,189
,333.21,3174,56.3,1784,68.4,333.33,3220,2395.8,2323.2,25.5,333.08,3151,324,22.47,375
,333.58,3312,64,1768,68.4,333.72,3358,2371.6,2395.8,22.4,333.46,3266,384,28.35,516
,333.99,3427,53,1816,68.4,334.12,3404,1851.3,2347.4,15.3,333.85,3381,360,27.72,372
,334.37,3427,24.7,1456,68.4,334.5,3381,1137.4,1839.2,18.4,334.25,3427,192,14.28,138
,334.77,3312,2.2,808,68.4,334.89,3128,1089,1524.6,75.7,334.63,3427,42,3.57,0
,335.15,2668,0.3,464,68.4,335.28,2254,1064.8,1488.3,97.3,335.02,2898,3,0.21,0
,335.54,2300,0,424,68.4,335.66,2300,1064.8,1452,97.3,335.41,2323,0,0,0
,335.91,2277,0,416,68.4,336.04,2254,1064.8,1439.9,97.3,335.79,2277,0,0,0
,336.29,2254,0,408,68.4,336.42,2231,1064.8,1427.8,97.6,336.17,2254,0,0,0
,336.67,2208,0,408,68.4,336.81,2208,1052.7,1415.7,97.6,336.55,2208,0,0,0
,337.07,2185,0,408,68.4,337.2,2162,1052.7,1403.6,97.6,336.94,2185,0,0,0
,337.45,2139,0,408,68.4,337.57,2139,1052.7,1391.5,97.6,337.32,2162,0,0,0
,337.82,2116,0,408,68.4,337.95,2116,1040.6,1379.4,98,337.7,2116,0,0,0
,338.21,2093,0,416,68.4,338.34,2070,1040.6,1367.3,98,338.07,2093,0,0,0
,338.6,2024,0,408,68.4,338.73,2024,1028.5,1343.1,98,338.48,2047,0,0,0
,338.98,1978,0,408,68.4,339.11,1955,1028.5,1331,98.4,338.86,2001,0,0,0
,339.36,1909,0,408,68.4,339.5,1886,1016.4,1306.8,98.4,339.24,1932,0,0,0
,339.76,1587,0,360,68.4,339.89,1426,1004.3,1294.7,98.8,339.63,1794,0,0,0
,340.16,1058,0,328,68.4,340.28,989,1004.3,1222.1,100,340.02,1242,0,0,0
,340.54,1127,0,296,68.4,340.68,1219,1004.3,1125.3,99.6,340.41,1035,0,0,0
,340.94,1426,0,312,68.4,341.06,1564,1004.3,1101.1,98.8,340.8,1311,0,0,0
,341.31,1978,0,384,68.4,341.43,2185,1052.7,1113.2,97.6,341.18,1748,0,0,0
,341.69,2116,0,416,68.4,341.82,2093,1040.6,1197.9,98,341.56,2139,0,0,0
,342.08,2070,0,416,68.4,342.21,2047,1040.6,1246.3,98,341.95,2093,0,0,0
,342.48,2024,0,424,68.4,342.6,2001,1028.5,1270.5,98,342.35,2024,0,0,0
,342.85,1978,0,424,68.4,342.99,1978,1028.5,1282.6,98,342.73,2001,0,0,0
,343.26,1955,0,400,68.4,343.38,1932,1016.4,1270.5,98.4,343.13,1955,0,0,0
,343.64,1909,0,400,68.4,343.77,1909,1016.4,1270.5,98.4,343.52,1909,0,0,0
,344.02,1909,0,408,68.4,344.15,1909,1028.5,1258.4,96.1,343.9,1909,0,0,0
,344.4,1909,4.1,608,68.4,344.52,1909,1089,1270.5,88.6,344.27,1909,15,0.42,12
,344.77,1955,8.5,832,68.4,344.9,1932,1282.6,1294.7,78.8,344.64,1932,42,1.68,45
,345.15,1955,19.8,1200,68.4,345.28,2001,1536.7,1318.9,89.8,345.02,1955,105,4.2,123
,345.55,2001,28.5,1528,68.4,345.67,2047,1778.7,1464.1,89.8,345.41,2001,162,6.93,180
,345.92,2093,36.5,1936,68.4,346.04,2116,2020.7,1694,87.8,345.79,2070,213,9.66,234
,346.3,2162,37.6,1856,68.4,346.43,2185,2008.6,1948.1,78.8,346.17,2139,240,11.34,246
,346.69,2254,37.9,1880,68.4,346.83,2277,2032.8,2165.9,63.9,346.56,2208,240,11.76,243
,347.11,2323,37.6,1864,68.4,347.24,2369,2020.7,2202.2,56.1,346.97,2300,243,12.18,240
,347.5,2415,35.7,1856,68.4,347.64,2438,1899.7,2069.1,47.8,347.36,2392,234,12.18,234
,347.91,2507,37.9,1832,68.4,348.05,2530,2141.7,1996.5,68.2,347.77,2484,234,12.6,228
,348.32,2599,39,1808,68.4,348.45,2622,2129.6,2190.1,51.4,348.19,2553,252,13.86,252
,348.7,2668,39,1816,68.4,348.83,2691,2165.9,2226.4,49,348.57,2645,252,14.49,252
,349.1,2760,41.5,1816,68.4,349.23,2783,2262.7,2214.3,49.4,348.96,2714,261,15.54,261
,349.48,2852,43.4,1808,68.4,349.6,2898,2238.5,2274.8,40.4,349.35,2829,279,17.01,279
,349.87,2944,37.6,1824,68.4,349.99,2967,1802.9,2141.7,24.3,349.74,2921,267,17.01,267
,350.25,3013,30.7,1736,68.4,350.37,3013,1681.9,1778.7,34.1,350.12,2990,210,13.65,195
,350.64,3036,19.8,1352,68.4,350.77,3013,1125.3,1585.1,78.4,350.5,3036,165,10.71,147
,351.03,2806,0.8,520,68.4,351.15,2599,1089,1427.8,92.9,350.89,2967,9,0.63,0
,351.43,2093,7.1,560,68.4,351.55,2139,1210,1452,64.7,351.28,2369,0,0,0
,351.81,2116,12.1,920,68.4,351.93,2116,1234.2,1379.4,64.3,351.69,2116,69,3.15,75
,352.19,2116,9.9,840,68.4,352.32,2116,1161.6,1318.9,64.7,352.06,2116,69,3.15,75
,352.57,2116,7.4,744,68.4,352.7,2116,1137.4,1258.4,87.5,352.45,2116,51,2.52,51
,352.95,2116,7.4,760,69.3,353.08,2116,1149.5,1306.8,87.5,352.82,2116,45,2.1,45
,353.36,2116,8,800,69.3,353.48,2116,1185.8,1343.1,70.6,353.22,2116,45,2.1,45
,353.73,2139,15.1,1168,69.3,353.86,2139,1355.2,1343.1,72.2,353.6,2116,72,3.15,78
,354.12,2139,22,1592,69.3,354.24,2139,1500.4,1415.7,75.3,353.99,2139,126,5.67,138
,354.5,2162,25,1664,69.3,354.63,2162,1657.7,1548.8,79.2,354.37,2162,150,6.93,153
,354.91,2185,29.9,1800,69.3,355.04,2208,1778.7,1706.1,76.1,354.77,2185,186,8.82,189
,355.3,2208,32.7,1808,69.3,355.44,2208,1657.7,1887.6,47.1,355.17,2208,213,10.08,213
,355.71,2208,17.3,1304,69.3,355.85,2208,1210,1621.4,50.2,355.58,2208,147,6.93,153
,356.13,2139,2.5,544,69.3,356.27,2208,1052.7,1355.2,97.6,355.99,2208,36,1.89,12
,356.53,2185,0,440,69.3,356.67,2185,1052.7,1343.1,97.6,356.4,2185,3,0,0
,356.94,2162,0,400,69.3,357.07,2162,1052.7,1343.1,97.6,356.8,2185,0,0,0
,357.33,2139,0,952,69.3,357.45,2139,1052.7,1343.1,97.6,357.2,2139,0,0,0
,357.72,2139,0,1496,69.3,357.85,2116,1040.6,1331,97.6,357.58,2139,0,0,0
,358.1,2093,0,1448,69.3,358.22,2093,1040.6,1331,98,357.98,2116,0,0,0
,358.51,2093,0,1104,69.3,358.64,2070,1040.6,1318.9,98,358.37,2093,0,0,0
,358.88,2047,0,1088,69.3,359.02,2047,1028.5,1306.8,98,358.76,2070,0,0,0
,359.31,2024,0,1520,69.3,359.44,2001,1028.5,1306.8,98,359.17,2024,0,0,0
,359.7,1955,0,1480,69.3,359.82,1886,1016.4,1294.7,98.4,359.57,1978,0,0,0
,360.1,1449,0,1432,69.3,360.24,1265,1004.3,1270.5,99.2,359.96,1679,0,0,0
,360.52,920,0.8,1464,69.3,360.66,989,1004.3,1173.7,100,360.38,1081,0,0,0
,360.94,1380,0,504,69.3,361.09,1633,1004.3,1101.1,98.8,360.8,1150,0,0,0
,361.37,2070,0,384,69.3,361.5,2277,1064.8,1125.3,97.3,361.23,1863,0,0,0
,361.78,2415,0,424,69.3,361.91,2392,1076.9,1222.1,96.5,361.64,2461,0,0,0
,362.18,2346,0,424,69.3,362.32,2323,1076.9,1306.8,96.9,362.06,2369,0,0,0
,362.61,2300,0,424,69.3,362.75,2277,1064.8,1343.1,97.3,362.46,2323,0,0,0
,363.02,2231,0,424,69.3,363.16,2208,1064.8,1355.2,97.6,362.88,2254,0,0,0
,363.42,2185,0,424,69.3,363.57,2185,1064.8,1343.1,95.7,363.29,2208,0,0,0
,363.84,2162,2.7,592,69.3,363.98,2139,1101.1,1343.1,89.8,363.71,2162,12,0.63,18
,364.24,2139,4.1,608,69.3,364.38,2139,1113.2,1343.1,88.2,364.11,2139,21,1.05,24
,364.66,2139,6.6,752,69.3,364.81,2139,1173.7,1355.2,69.4,364.52,2139,33,1.68,36
,365.08,2139,10.7,1048,69.3,365.2,2162,1258.4,1343.1,71.8,364.94,2185,60,2.73,69
,365.47,2162,16.2,1360,69.3,365.61,2185,1331,1343.1,71,365.33,2162,93,4.41,102
,365.89,2185,17.6,1440,69.3,366.03,2208,1391.5,1379.4,67.8,365.75,2185,105,5.04,111
,366.3,2208,21.4,1744,69.3,366.45,2231,1464.1,1452,65.5,366.16,2208,129,6.3,132
,366.73,2254,15.4,1264,69.3,366.87,2254,1282.6,1439.9,61.6,366.59,2254,114,5.67,99
,367.15,2277,16.7,1328,69.3,367.27,2277,1439.9,1367.3,69,367.01,2254,90,4.62,87
,367.53,2300,23.3,1752,69.3,367.65,2323,1621.4,1415.7,76.5,367.4,2300,138,6.72,153
,367.92,2346,29.9,1872,69.3,368.04,2392,1863.4,1597.2,81.2,367.79,2346,174,8.61,186
,368.3,2438,37.1,1896,69.3,368.44,2461,2226.4,1936,83.5,368.17,2392,225,11.76,234
,368.72,2530,42,1864,69.3,368.85,2553,2335.3,2347.4,62.7,368.59,2484,264,14.49,273
,369.11,2645,45.3,1848,69.3,369.25,2668,2347.4,2528.9,47.1,368.97,2599,288,16.17,291
,369.51,2760,49.1,1824,69.3,369.64,2806,2432.1,2468.4,42.4,369.39,2714,306,18.06,315
,369.91,2921,57.4,1784,69.3,370.05,2967,2444.2,2480.5,29.8,369.77,2852,348,22.05,357
,370.33,3082,60.4,1784,69.3,370.47,3128,2407.9,2407.9,28.6,370.2,3036,378,25.83,402
,370.73,3220,59,1792,69.3,370.88,3266,2371.6,2395.8,25.5,370.6,3174,369,26.46,381
,371.15,3335,41.7,1848,69.3,371.29,3358,1863.4,2202.2,22,371.01,3312,315,23.73,282
,371.56,3335,11.5,1320,69.3,371.69,3243,1089,1645.6,72.9,371.42,3335,147,10.5,81
,371.94,2852,0.5,568,69.3,372.08,2576,1089,1512.5,93.3,371.82,3059,3,0.21,0
,372.37,2300,0,424,69.3,372.51,2300,1064.8,1464.1,97.3,372.22,2254,0,0,0
,372.77,2300,0,416,69.3,372.9,2300,1064.8,1452,97.3,372.63,2300,0,0,0
,373.15,2277,0,416,69.3,373.28,2254,1064.8,1439.9,97.3,373.03,2277,0,0,0
,373.54,2231,0,416,69.3,373.66,2208,1064.8,1427.8,97.6,373.42,2254,0,0,0
,373.94,2185,0,416,69.3,374.06,2162,1052.7,1403.6,97.6,373.8,2185,0,0,0
,374.31,2116,0,408,69.3,374.44,2116,1040.6,1379.4,97.6,374.19,2139,0,0,0
,374.69,2070,0,408,69.3,374.84,2047,1040.6,1367.3,98,374.56,2093,0,0,0
,375.11,2024,0,408,69.3,375.24,2001,1028.5,1343.1,98,374.97,2047,0,0,0
,375.51,1955,0,408,69.3,375.64,1932,1016.4,1318.9,98.4,375.38,1978,0,0,0
,375.91,1886,0,392,69.3,376.05,1863,1016.4,1294.7,98.4,375.78,1909,0,0,0
,376.33,1817,0,408,69.3,376.47,1794,1004.3,1270.5,98.8,376.2,1840,0,0,0
,376.73,1748,0,400,69.3,376.87,1725,1004.3,1246.3,98.8,376.59,1771,0,0,0
,377.15,1702,0.8,352,69.3,377.28,1702,1089,1222.1,91,377.01,1702,0,0,0
,377.56,1748,9.9,1064,69.3,377.69,1702,1258.4,1234.2,84.3,377.42,1702,39,1.47,84
,377.96,1702,20.3,1352,69.3,378.1,1702,1415.7,1306.8,92.5,377.82,1702,117,4.2,132
,378.38,1725,26.6,1192,69.3,378.52,1725,1524.6,1427.8,91.4,378.23,1725,162,6.09,168
,378.79,1725,27.2,1624,69.3,378.92,1725,1427.8,1536.7,70.6,378.66,1725,177,6.51,180
,379.19,1725,19.8,1320,69.3,379.33,1725,1318.9,1476.2,63.1,379.05,1725,144,5.46,144
,379.61,1748,32.4,1696,69.3,379.76,1748,1996.5,1427.8,89.8,379.47,1725,162,5.88,147
,380.04,1771,46.9,1768,69.3,380.18,1771,2178,1706.1,87.5,379.9,1748,279,10.92,297
,380.45,1794,47.8,1752,70.2,380.57,1794,2081.2,1936,83.9,380.31,1794,297,11.97,300
,380.85,1817,29.1,1632,69.3,380.98,1794,1427.8,1851.3,39.6,380.71,1794,228,9.45,222
,381.22,1794,20.6,1320,69.3,381.36,1794,1270.5,1488.3,48.6,381.1,1817,150,5.88,141
,381.65,1794,11.3,912,69.3,381.79,1771,1064.8,1270.5,90.2,381.51,1794,102,4.2,96
,382.06,1725,3.8,536,70.2,382.2,1748,1016.4,1210,96.5,381.93,1771,30,1.26,24
,382.47,1725,0.3,368,70.2,382.61,1725,1004.3,1197.9,98.8,382.33,1748,3,0,0
,382.87,1702,0,344,70.2,383,1679,1004.3,1197.9,98.8,382.73,1725,0,0,0
,383.27,1633,0,816,70.2,383.42,1610,1004.3,1197.9,98.8,383.14,1656,0,0,0
,383.69,1564,0,1032,70.2,383.82,1518,1004.3,1185.8,98.8,383.55,1587,0,0,0
,384.1,1495,0,1496,70.2,384.25,1472,1004.3,1173.7,98.8,383.96,1495,0,0,0
,384.52,1426,0,720,70.2,384.65,1426,1004.3,1149.5,98.8,384.39,1449,0,0,0
,384.93,1403,0,296,70.2,385.07,1403,1004.3,1137.4,98.4,384.79,1403,0,0,0
,385.35,1403,6.9,496,70.2,385.48,1380,1040.6,1149.5,98.8,385.21,1403,30,0.84,48
,385.75,1357,13.7,792,70.2,385.89,1380,1415.7,1173.7,95.3,385.62,1380,60,1.68,69
,386.13,1380,37.3,1232,70.2,386.27,1403,1863.4,1258.4,92.9,386.01,1380,207,6.3,243
,386.55,1403,44.2,1232,70.2,386.69,1403,1936,1415.7,90.6,386.41,1403,252,8.19,357
,386.98,1426,47.2,1312,70.2,387.12,1449,1948.1,1560.9,89.8,386.83,1426,276,9.24,363
,387.39,1472,48.6,1368,70.2,387.53,1495,1790.8,1694,88.2,387.26,1472,300,10.08,315
,387.78,1495,44.7,1400,70.2,387.92,1541,1802.9,1742.4,90.6,387.65,1495,273,9.45,267
,388.17,1541,44.2,1440,70.2,388.3,1564,1911.8,1790.8,90.2,388.04,1518,276,9.66,270
,388.58,1587,52.2,1488,70.2,388.72,1587,2093.3,1887.6,89,388.45,1587,297,10.5,300
,388.98,1656,53,1536,70.2,389.12,1656,2141.7,2020.7,88.6,388.85,1610,324,11.97,327
,389.38,1679,47.8,1584,70.2,389.52,1702,1972.3,2129.6,78.4,389.24,1679,318,12.18,321
,389.79,1725,43.6,1624,70.2,389.93,1748,1984.4,2117.5,76.9,389.65,1702,276,10.5,270
,390.21,1771,43.9,1664,70.2,390.35,1794,2044.9,2093.3,79.6,390.07,1748,276,10.71,273
,390.6,1840,47.2,1712,70.2,390.74,1863,2214.3,2165.9,86.7,390.48,1817,291,11.76,285
,391.02,1886,46.7,1752,70.2,391.15,1909,2214.3,2274.8,78,390.87,1886,294,12.39,297
,391.42,1955,46.4,1800,70.2,391.56,1955,2262.7,2347.4,73.7,391.28,1932,291,12.39,294
,391.82,2024,47.5,1816,70.2,391.95,2024,2347.4,2407.9,75.7,391.69,2001,297,13.02,300
,392.21,2070,49.7,1808,70.2,392.35,2093,2395.8,2528.9,66.7,392.09,2047,315,14.07,315
,392.64,2139,50.2,1800,70.2,392.77,2162,2407.9,2589.4,59.6,392.49,2116,321,14.91,327
,393.04,2185,45.3,1808,70.2,393.16,2208,2178,2480.5,45.5,392.91,2185,312,15.12,312
,393.45,2254,36.8,1808,70.2,393.59,2254,1766.6,2020.7,34.9,393.31,2231,252,12.39,246
,393.87,2277,27.7,1768,70.2,394,2277,1597.2,1609.3,41.6,393.73,2254,195,9.66,192
,394.27,2277,21.7,1480,70.2,394.4,2300,1403.6,1427.8,43.1,394.13,2277,156,7.98,159
,394.68,2300,17.8,1336,70.2,394.81,2323,1367.3,1306.8,56.5,394.54,2300,120,6.09,120
,395.08,2300,13.7,1040,70.2,395.22,2323,1282.6,1282.6,60.8,394.94,2300,99,5.04,102
,395.46,2323,12.9,1024,70.2,395.6,2323,1294.7,1270.5,62.7,395.34,2323,81,4.2,81
,395.88,2346,13.7,1072,70.2,396.02,2346,1331,1282.6,63.1,395.74,2346,84,4.41,84
,396.29,2346,17,1344,70.2,396.43,2346,1379.4,1318.9,59.2,396.16,2346,105,5.25,105
,396.7,2369,17.3,1344,71.1,396.84,2369,1379.4,1355.2,56.5,396.55,2369,108,5.67,111
,397.12,2369,17.3,1360,71.1,397.25,2369,1379.4,1367.3,54.5,396.98,2369,111,5.67,111
,397.54,2369,20.3,1536,71.1,397.68,2369,1476.2,1391.5,55.7,397.4,2369,123,6.3,126
